image;caption
4963234016.jpg; A woman wearing a black stands in front of a counter while she holds a piece of meat .
4963234016.jpg; A woman is handling meat from a clear glass meat cage while standing before a wooden counter with a large metal bowl on it .
4963234016.jpg; A woman with thinning hair is working in a meat processing plant .
3389448506.jpg; The dog plays in the park .
3389448506.jpg; A tan dog runs along the grass .
3389448506.jpg; A dog runs toward the camera , his tongee hanging out the side of his mouth
387830531.jpg; Two dogs playing in the grass with an adult nearby .
387830531.jpg; Two dogs are playing together outside .
387830531.jpg; a brown dog about to jump on a smaller black and tan dog
1342407554.jpg; A young boy in a red shirt and his older friend are heading down a heavily-wooded trail .
1342407554.jpg; Two children walk down a path into the woods .
1342407554.jpg; A man and a much younger boy , both wearing hats , taking a stroll through nature .
1788892671.jpg; Two ladies are crossing a street right in front of a restaurant .
1788892671.jpg; Two women crossing the street with a giant rat in the background .
1788892671.jpg; Two women in a light blue and a dark blue jacket walking in a crosswalk and a fake giant rat is on the sidewalk behind them .
2319175397.jpg; Two husky-like white dogs are outside on snow .
2319175397.jpg; two samoyads play in the snow .
2319175397.jpg; Two white dogs are playing in the snow .
2487069642.jpg; The flight attendant dressed in yellow demonstrates life vest usage .
2487069642.jpg; Woman on airplane models a flotation device .
2487069642.jpg; A flight attendant is demonstrating safety devices .
221973402.jpg; A red shirted boy and a black dog with a Frisbee run in the green grass .
221973402.jpg; a black dog chases a boy wearing red and blue .
221973402.jpg; A boy plays with a dog and a Frisbee .
257713504.jpg; Dark-skinned man paddling a boat in deep water .
257713504.jpg; Native man fishing in a dugout canoe on a blue green bay .
257713504.jpg; A man dressed in only shorts and a ski hat , paddles a wooden canoe on a large body of open water .
3319020762.jpg; Two people in the surf as the wave covers them .
3319020762.jpg; two people jumpinjg over a large wave at the beach
3319020762.jpg; Two kids getting hit by a wave in the ocean
2988339083.jpg; People stand against a wall , one guy wears headphones .
2988339083.jpg; People talking , listening to their music waiting in a train station to get somewhere .
2988339083.jpg; A group of people are waiting for a train to arrive .
4837972719.jpg; A lady in a red scarf is walking through the cobblestone streets .
4837972719.jpg; A woman in a red scarf walking through an entryway on a street .
4837972719.jpg; Women with a white shopping bag wearing a red scarf walks through a corridor .
4799239390.jpg; A man with a suit and a woman with a stroller are walking .
4799239390.jpg; A man in a blue shirt with a duffel bag and a woman in a yellow jacket pushing a baby stroller crossing a city street .
4799239390.jpg; A woman in yellow with a stroller , and a man in a blue shirt with a backpack are walking on a busy city block .
3541274042.jpg; A man running in a red shirt and black shorts .
3541274042.jpg; A group of athletes in red shirts are running to finish their race .
3541274042.jpg; Men and women competing in a marathon .
543613917.jpg; A man in a black hat is rearing up on his brown horse while a crowd of people look on from a distance .
543613917.jpg; A man in a black cowboy hat holds on as his horse rears up .
543613917.jpg; Man riding a bucking bronco!
3605100550.jpg; The larger dog is barking at the smaller dog .
3605100550.jpg; A brown and white dog barking through the fence at smaller black and white dog .
3605100550.jpg; Two dogs fighting with a fence between them .
244073535.jpg; A man is lathered up and ready for a shave at a barber shop .
244073535.jpg; The man with the brown hair is at the shop getting his beard cutoff .
244073535.jpg; A man is sitting in a barber 's chair getting ready for a shave .
2672445419.jpg; A little boy is smiling and playing in a playground .
2672445419.jpg; A young boy smiles as he hangs from monkey bars .
2672445419.jpg; A boy smiles at the camera .
2338791560.jpg; Young child and woman with glasses playing with toys on a red rug .
2338791560.jpg; A young Caucasian child and another adult lady are playing with a house made out of Legos .
2338791560.jpg; A woman is playing toys with a young toddler sitting on a red mat .
816898146.jpg; A man and women are kissing .
816898146.jpg; A groom and his wife kiss while posing for photos .
816898146.jpg; A man and a woman kiss at a wedding .
4578856261.jpg; A man strolls down a sidewalk , holding an orange bag .
4578856261.jpg; A dark-haired man wearing a backpack is walking down the street .
4578856261.jpg; A man is wearing a black backpack and carrying a brown bag .
3649224118.jpg; A group of guys are playing soccer on the beach .
3649224118.jpg; Men playing soccer on red sand .
3649224118.jpg; They are playing with a soccer ball on the beach .
492493570.jpg; A girl in a pink suit chases a gull on a beach .
492493570.jpg; Young girl in red bathing suit feeding a seagull
492493570.jpg; The little girl plays along the shoreline as the seagull passes by .
98817947.jpg; A man takes a quick break from working to pose of a picture .
98817947.jpg; Burly warehouse worker giving the victory sign
98817947.jpg; A smiling warehouse worker with a tattoo on his forearm gives the peace sign while surrounded by cardboard boxes .
3172369593.jpg; a girl carrying a yellow bag is looking at pictures in a photo gallery .
3172369593.jpg; A girl looking at some pictures on a wall .
3172369593.jpg; The young woman with the large white bag is looking at pictures in an art gallery .
6990342763.jpg; A man in a gray hoodie is talking with a smiling woman in a black suit .
6990342763.jpg; A woman getting a back rub from a man while sitting court side at a basketball court .
6990342763.jpg; A guy wearing a gray hoodie and read shorts is standing behind a black woman wearing all black with his right elbow in her shoulder .
2737409349.jpg; A man is sitting in the green chair , talking on the phone , and working on the laptop , and there is construction site next to his building .
2737409349.jpg; He is at work overlooking the busy streets below .
2737409349.jpg; A man sitting in a green chair in front of a large window looking out onto a cityscape .
3739833689.jpg; A young boy holds his head to a baseball bat on the green grass .
3739833689.jpg; A little boy puts a bat on his forehead and spins around .
3739833689.jpg; Little boy puts his forehead on the baseball bat and spins around to make himself dizzy .
3939508858.jpg; Two band members play guitars at an open air event .
3939508858.jpg; Two men playing a bass and a guitar singing a song .
3939508858.jpg; a man in a blue jacket and pink shirt is singing and playing the guitar
4452463739.jpg; Well-dressed young men on bicycles cross an intersection .
4452463739.jpg; Two men wearing white shirts wearing helmets while riding a bike .
4452463739.jpg; A man dressed in slacks and a tie is riding a bicycle , followed by another man doing the same , with a Walmart in the background .
4629605656.jpg; Several families stand next to a set of trees as they watch an event .
4629605656.jpg; a young family admiring an attraction .
4629605656.jpg; Several adults are tending their children outside on a sunny day .
4414061.jpg; A man and woman sleep on a bus while it travels .
4414061.jpg; A man wearing a dark shirt is sitting next to a white hat and sleeping .
4414061.jpg; Two young adult passengers of a vehicle are sleeping .
2208067635.jpg; A young girl is rock climbing .
2208067635.jpg; A little girl is climbing up a rock as her mom 's shadow is casting over the rock .
2208067635.jpg; A small child climbs a large rock while someone casting a shadow takes her picture .
4454997580.jpg; A child is gesturing towards a game while walking with his mother .
