image;caption
4756096563.jpg; Several Asian people on the street are looking up and holding cameras to record something .
614590294.jpg; Several people are sitting on a pier above the water .
4784988254.jpg;" A man and two children all enjoying a drink ; water , soda and beer ."
2135453792.jpg; Many people in a very crowded square in a city at night .
3238951136.jpg; A man wearing flowered swimming trunks is standing near large mossy rocks .
5389294129.jpg; A group of people is parading with red and yellow flags .
8221794333.jpg; a young boy wearing a blue cookie monster shirt plays outdoors with some leaves in the yard .
3579457159.jpg; A group of ladies trying to learn how to belly dance .
4917931600.jpg; A man in a blue jumpsuit and a brown hat wearing a black tie , boots and goggles sits with his legs crossed in the street .
118187095.jpg; Two children ride in toy cars .
3389458786.jpg; There are a bunch of students studying hard .
3475111806.jpg; A man takes a picture in a crowd .
5683406436.jpg; Off-road bike rider jumps off a wooden ramp .
75180828.jpg; A man in a black shirt is showing a broken glass .
275168455.jpg; A street vendor selling a variety of foods .
1400421768.jpg; A man dressed in all black holding a pole .
4185242728.jpg; A girl sitting on a bench .
2997483933.jpg; A little boy sleeping on a striped couch while wrapped in a white blanket .
953036866.jpg; A young kid in a yellow t-shirt plays with some sort of hose .
6773067336.jpg; A man is teaching a classroom full of young students .
4806596785.jpg; Three boys are standing on the ledge outside of a building .
27590618.jpg; Three people are sitting down to rest .
3535768334.jpg; A cyclist is performing a jumping stunt in a skate and cycle park .
4839553740.jpg; pigeons scouring for food on sidewalk
2514667945.jpg; Profile shot of two men and a girl
7066658127.jpg; A motorcycle racer wearing Number 60 in a green uniform and helmet appears to slight lead the race against many other drivers as they go around a curve , but the others are close behind .
4805540342.jpg; A group of students looking over a balcony on a senior trip .
3104490502.jpg; A bus stuck in heavy city traffic .
2057305043.jpg; A purple paraglider flying over the ocean near a cliff .
7352187056.jpg; A surfer in a black wetsuit is watching another surfer surf on a wave in the ocean .
3848572895.jpg; a man sitting with his shoes off in an alley
5570219.jpg; A man in a yellow jacket works with a film camera .
4491044489.jpg; Two men are making their way across the ocean .
2881644926.jpg; A man talking while a lady is working out .
68897277.jpg; A young man in a white shirt is laughing in the foreground while a woman in a black shirt stands in the background .
2654018684.jpg; Various people sitting and talking in a room .
3467510271.jpg; A man wearing flippers jumps from a helicopter into the water .
179829865.jpg; A man beginning to waterski wearing a red life jacket .
791338571.jpg; A red car is parked next to a black bull in a grassy field .
5199439325.jpg; A boy in school painting in a book with his finger .
3168293517.jpg; A little boy in a blue shirt holding a toy .
427167162.jpg; A group of people jumping away in a street
2539883133.jpg; Four people stand in front of a stage with microphones .
4817561184.jpg; A woman in a green top and orange shorts is walking on the street .
7329031116.jpg; A British gentleman , dressed in full military uniform , waving his hat with a background of people sitting back and looking out onto the waterway .
2831723637.jpg; Collie dog races around a pole .
1410019664.jpg; A group of people are eating in a large outdoor tent .
2215925780.jpg; A yellow backhoe near a large pile of dirt and rocks near a blue machine with a worker standing on it .
469029994.jpg; A backpacker looks over a cliff towards the fog .
6217611379.jpg; You have two officers pulling over a BMW for getting a ticket from both officers .
281789241.jpg; A girl in a red shirt colors as she stands at her desk .
393959556.jpg; A woman tastes a watermelon at an outdoor market .
7589467042.jpg; Five men playing a competitive game of basketball with the man in the black tank top and black shorts in possession of the ball .
204886976.jpg; A silver statue of men on bikes .
6273518057.jpg; Two men in sponsorship shirts open bottles that are spraying .
311203232.jpg; People await the arrival of an elevated train in the cold winter .
976392326.jpg; A woman and a little girl sit on desert rock .
1287931016.jpg; A black and a white dog on the snow .
8220955383.jpg; A young , active man wearing a full helmet turning a corner on his mountain bike in the woods .
4364402091.jpg; Several fire dancers participated in a ritual in front of onlookers .
5706580028.jpg; A Chinese rickshaw driver carrying furniture in the street .
4436269309.jpg; A pedestrian walking down the street .
4782892651.jpg; A woman in a white shirt is being arrested .
2906054175.jpg; The long-haired man is balancing on a drum that is being carried by men in white shirts .
4152974865.jpg; A runway guide with a green vest checks the controls in a airplane
3223973114.jpg; Dog running in yard .
4973929160.jpg; Men are playing drums on the street with people behind them dancing .
4786057236.jpg; An aged man stands against a wall playing an accordion .
449451920.jpg; A woman sleeps behind the counter of a shop .
3205754736.jpg; Men standing with signs on the sidewalk .
26067618.jpg; Two workers are building a skyscraper .
6827146958.jpg; The person is adjusting the telescope .
3339775939.jpg; A woman is holding her head amid produce .
3437702351.jpg; Two bearded men stand behind a case filled with cigars .
3608858344.jpg; A woman and a man outside doing a show involving fire .
2862469183.jpg; A big brown dog jumps over a small black dog .
4373983146.jpg; A man and woman dancing the tango in ballroom attire .
2272548482.jpg; A young boy plays basketball while a few people behind him look on .
3483140026.jpg; A man in a hard hat stands beside a ladder .
4572766663.jpg; A man with long hair plays the harmonica while sitting on the sidewalk .
3424861178.jpg; Two men in neon yellow jackets ride two brown horses down a street next to a bed of bright yellow flowers .
175299591.jpg; A young boy in a orange shirt watching something .
2455649051.jpg; People dressed in white juggling .
3692396278.jpg; A father and his son at the park , the dad has a bike propped up onto a tree checking the tire while his son is studying the tree .
3192311620.jpg; A brown dog is about to catch a treat .
3193029429.jpg; A lady tango dancer in red , finishing her routine .
2535746605.jpg; a young girl wearing a red shirt and a white skirt running through the grass .
4748798432.jpg; A man sticking a metal rod into a river of lava .
531152619.jpg; A brown furry dog is biting a no hair brown dog .
2602123013.jpg; A man is grilling kebabs on a barbecue .
2270955453.jpg; Multiple diners are sitting in black chairs in a reddish-orange Asian-themed restaurant eating .
2091394493.jpg; An adult man and young child are walking along the edge of a body of water .
4454159050.jpg; A large group of people walking and with a few carrying red flags .
7136930039.jpg; Two women walking in water .
281658181.jpg; A female athlete is in the process of completing a high jump .
1299459550.jpg; Boy in shorts , face down in shallow , reflective water .
2908391223.jpg; A wedding party laughs during the reception .
897406883.jpg; A child pulls another in a small wagon .
5432673825.jpg; A man in a red jacket and sunglasses is snowboarding down a snowy mountain .
2394919002.jpg; a young boy runs for the pond .
6212276876.jpg; People are watching a jockey ride a horse .
6293812868.jpg; Young women compete in a relay event at a swimming pool while teammates cheer or anxiously await their turns .
2956413620.jpg; A person wearing a white helmet races in a black race car .
4761033105.jpg; A group of people in swimwear are standing in a field covered in tents .
3504479370.jpg; The police officers in bright yellow jackets watch the crowd .
1045521051.jpg; A television with a picture of a girl on it .
5476688378.jpg; A man in a dirty apron is checking on something in his wood fired oven .
3440423642.jpg; Food is being served to a table where a woman in a blue blazer sits .
358770558.jpg; A monk sitting on a bench outside of a temple .
6381955081.jpg; A young man with brown hair wearing a green outfit is rowing with an oar .
732437240.jpg; A bull bucks a man to the ground during a rodeo .
2307109231.jpg; A woman in a pink hat is helping a little girl in a white hat with her ice skates .
6482557081.jpg; Two black women in fancy uniforms
4805058459.jpg; These agile young people have climbed behind the bleachers to watch the action .
1057251835.jpg; A tan dog runs on a sandy beach .
6296741028.jpg; A man in orange and white rides his mountain bike through a forest .
6915574150.jpg; A blue eyed , blond-hair little girl holding a toothbrush .
7763558408.jpg; Three men push water off of a baseball field .
405534993.jpg; A rock climber .
4161829222.jpg; A guy who got out of his car with trees around .
4893958897.jpg; A life-size , mechanized model of an elephant parades down a city street .
3415589320.jpg; Two dogs wrestling in the grass
6322363637.jpg; 2 refs sitting on a bench waiting for the soccer game to start .
2141692397.jpg; A man hanging off a lamp post during winter .
5033187903.jpg; A woman with brown hair wearing a red polka dot dress is singing into a microphone .
2393924525.jpg; A furocious female tennis player about to hit a tennis ball in the air .
2566294211.jpg; Several young people congregating by two canoes .
8179353896.jpg; A man takes aim at a golf ball as his swing is fully extended behind his back .
4509092468.jpg; A brunette man is taking a picture of a large group of people .
467262667.jpg; An audience watches as a band performs .
3687215840.jpg; Sitting on a doorstep talking .
2245618207.jpg; A girl in a crowd laughs and climbs on something .
4677106896.jpg; Woman with long hair on a bicycle looking at a child .
4859764297.jpg; A young boy in a red hat rides on a horse .
2914800692.jpg; A man in the air on a BMX bicycle , with 4 people sitting watching him in front of an EASTPAK banner .
4705589602.jpg; A man with a checked shirt on is carrying a skateboard walking down the road .
7942450860.jpg; A man sitting next to tires in a showroom containing race cars lined up with hoods opened .
8186248597.jpg; A woman harvesting her crops in a marshy area .
3312570563.jpg; Several people have set up temporary camp beside a large marble support column .
85014310.jpg; Several people are in a group with several men wear headgear .
4791485167.jpg; Person in a white shirt wearing a hat digging in the snow .
3396175512.jpg; A man with a black hat is standing and shading his eyes .
4658910970.jpg; A baseball player in gray is getting ready to catch the ball .
5563345549.jpg; A woman is sitting down doing some sort of craft work while another person operates a large wooden loom device in the background .
2179759270.jpg; A mother and her daughter are enjoying their Christmas presents .
4146485510.jpg; A man wearing a gray shirt is getting a haircut .
390879416.jpg; A man is playing the trumpet .
4477151562.jpg; People walking down a walkway in a city with restaurants along the walkway .
7513836082.jpg; This man is riding a lawn mower with a child on his lap .
664228094.jpg; A man in a white t-shirt and white ball cap stands next to Insulfoam .
4752283706.jpg; Food is being served outside of a stadium .
4848911761.jpg; A black street dancer performs for a crowd of people .
6978787088.jpg; A male surfer on a white surfboard jumps a wave .
3070130228.jpg; Two people wearing blue , red , and white football uniforms crouched over as though in play .
6421917743.jpg; A man and a woman are smelling the contents of opaque white jars .
2278776373.jpg; A boy walks near buildings .
2142232919.jpg; A black lab puppy runs with an orange ball on an autumn day .
3929821625.jpg; Group of people picking pineapples to put on a conveyor .
6899246013.jpg; Two players in a tournament , playing basketball .
1364148789.jpg; A man in a black shirt stands in front of a construction cone .
2807030070.jpg; A large suited bald man is leaving a shop .
4145725901.jpg; Three boys are standing together and one has a camera .
21167868.jpg; Two men are playing guitars and one man is singing into a microphone on a stage with the spotlight on them .
4654662119.jpg; a woman and 2 boys playing with kites next to a lake
6915308239.jpg; A male elementary school teacher , wearing a Santa Clause hat , is showing a drawing of Santa Clause to an Asian classroom .
2956844849.jpg; People surrounding a table looking at something .
2753531542.jpg; A man in red swim trunks is in midair above the people in the water below .
7599079406.jpg; A man is using his phone on a bus .
7746984692.jpg; A lone hiker walking along a path in a high mountainous area .
2866686547.jpg; Two girls in red jerseys playing soccer
4082808690.jpg; Five dancers with their hands above their heads wearing foreign costumes .
4884153815.jpg; Elderly native sitting in lawn chair in a hut .
100845130.jpg; Four people walking with the sun setting behind them .
2798651021.jpg; A man is playing the accordion in an empty park .
